"list_name","name","label","image","cf"
"g_n_divisions","1103_1181","Mahawatta","","Colombo"
"g_n_divisions","1103_1471","Aluthmawatha","","Colombo"
"g_n_divisions","1103_17","Sammanthranapura","","Colombo"
"g_n_divisions","1103_1760","Lunupokuna","","Colombo"
"g_n_divisions","1103_2048","Bloemendhal","","Colombo"
"g_n_divisions","1103_2336","Kotahena East","","Colombo"
"g_n_divisions","1103_2623","Kotahena West","","Colombo"
"g_n_divisions","1103_2907","Kochchikade North","","Colombo"
"g_n_divisions","1103_311","Mattakkuliya","","Colombo"
"g_n_divisions","1103_3187","Jinthupitiya","","Colombo"
"g_n_divisions","1103_3467","Masangasweediya","","Colombo"
"g_n_divisions","1103_3743","New Bazaar","","Colombo"
"g_n_divisions","1103_4017","Grandpass South","","Colombo"
"g_n_divisions","1103_4288","Grandpass North","","Colombo"
"g_n_divisions","1103_4554","Nawagampura","","Colombo"
"g_n_divisions","1103_4816","Maligawatta East","","Colombo"
"g_n_divisions","1103_5071","Khettarama","","Colombo"
"g_n_divisions","1103_5321","Aluthkade East","","Colombo"
"g_n_divisions","1103_5606","Aluthkade West","","Colombo"
"g_n_divisions","1103_5837","Kochchikade South","","Colombo"
"g_n_divisions","1103_601","Modara","","Colombo"
"g_n_divisions","1103_6064","Pettah","","Colombo"
"g_n_divisions","1103_6287","Fort","","Colombo"
"g_n_divisions","1103_6509","Galle Face","","Colombo"
"g_n_divisions","1103_6727","Slave Island","","Colombo"
"g_n_divisions","1103_6939","Hunupitiya","","Colombo"
"g_n_divisions","1103_7145","Suduwella","","Colombo"
"g_n_divisions","1103_7347","Keselwatta","","Colombo"
"g_n_divisions","1103_7542","Panchikawatta","","Colombo"
"g_n_divisions","1103_7727","Maligawatta West","","Colombo"
"g_n_divisions","1103_7905","Maligakanda","","Colombo"
"g_n_divisions","1103_8077","Maradana","","Colombo"
"g_n_divisions","1103_8245","Ibbanwala","","Colombo"
"g_n_divisions","1103_8408","Wekanda","","Colombo"
"g_n_divisions","1103_891","Madampitiya","","Colombo"
"g_n_divisions","1106_1186","Veheragoda","","Kolonnawa"
"g_n_divisions","1106_1476","Orugodawatta","","Kolonnawa"
"g_n_divisions","1106_1765","Meethotamulla","","Kolonnawa"
"g_n_divisions","1106_2053","Welewatta","","Kolonnawa"
"g_n_divisions","1106_22","Wadulla","","Kolonnawa"
"g_n_divisions","1106_2341","Kittampahuwa","","Kolonnawa"
"g_n_divisions","1106_2628","Wennawatta","","Kolonnawa"
"g_n_divisions","1106_2912","Maha Buthgamuwa B","","Kolonnawa"
"g_n_divisions","1106_316","Sedawatta","","Kolonnawa"
"g_n_divisions","1106_3192","Kuda Buthgamuwa","","Kolonnawa"
"g_n_divisions","1106_3472","Kelanimulla","","Kolonnawa"
"g_n_divisions","1106_3748","Ambathale","","Kolonnawa"
"g_n_divisions","1106_4022","Mulleriyawa North","","Kolonnawa"
"g_n_divisions","1106_4292","Belagama","","Kolonnawa"
"g_n_divisions","1106_4558","Kotikawatta East","","Kolonnawa"
"g_n_divisions","1106_4820","Maha Buthgamuwa A","","Kolonnawa"
"g_n_divisions","1106_5075","Maha Buthgamuwa C","","Kolonnawa"
"g_n_divisions","1106_5325","Wellampitiya","","Kolonnawa"
"g_n_divisions","1106_5610","Kuruniyawatta","","Kolonnawa"
"g_n_divisions","1106_5841","Kolonnawa","","Kolonnawa"
"g_n_divisions","1106_606","Halmulla","","Kolonnawa"
"g_n_divisions","1106_6068","Dahampura","","Kolonnawa"
"g_n_divisions","1106_6291","Singhapura","","Kolonnawa"
"g_n_divisions","1106_6513","Megoda Kolonnawa","","Kolonnawa"
"g_n_divisions","1106_6731","Bopetta","","Kolonnawa"
"g_n_divisions","1106_6943","Batalandahena","","Kolonnawa"
"g_n_divisions","1106_7149","Kotikawatta West","","Kolonnawa"
"g_n_divisions","1106_7351","Mulleriyawa South","","Kolonnawa"
"g_n_divisions","1106_7546","Malgama","","Kolonnawa"
"g_n_divisions","1106_7731","Udumulla North","","Kolonnawa"
"g_n_divisions","1106_7909","Maligagodella","","Kolonnawa"
"g_n_divisions","1106_8081","Rajasinghagama","","Kolonnawa"
"g_n_divisions","1106_8249","Udumulla South","","Kolonnawa"
"g_n_divisions","1106_8412","Himbutana East","","Kolonnawa"
"g_n_divisions","1106_8571","Himbutana West","","Kolonnawa"
"g_n_divisions","1106_8722","Malpura","","Kolonnawa"
"g_n_divisions","1106_8868","Gothatuwa New Town","","Kolonnawa"
"g_n_divisions","1106_896","Kotuvila","","Kolonnawa"
"g_n_divisions","1106_9009","Kajugahawatta","","Kolonnawa"
"g_n_divisions","1106_9146","Gothatuwa","","Kolonnawa"
"g_n_divisions","1106_9276","Salamulla","","Kolonnawa"
"g_n_divisions","1106_9398","Wijayapura","","Kolonnawa"
"g_n_divisions","1106_9514","Gajabapura","","Kolonnawa"
"g_n_divisions","1106_9623","Madinnagoda","","Kolonnawa"
"g_n_divisions","1106_9728","Elhena","","Kolonnawa"
"g_n_divisions","1106_9826","Dodamgahahena","","Kolonnawa"
"g_n_divisions","1109_10009","Jayawadanagama","","Kaduwela"
"g_n_divisions","1109_10096","Aruppitiya","","Kaduwela"
"g_n_divisions","1109_10177","Asiri Uyana","","Kaduwela"
"g_n_divisions","1109_10253","Battaramulla South","","Kaduwela"
"g_n_divisions","1109_10327","Rajamalwatta","","Kaduwela"
"g_n_divisions","1109_10396","Pahalawela","","Kaduwela"
"g_n_divisions","1109_10461","Wickramasinghapura","","Kaduwela"
"g_n_divisions","1109_10519","Wellangiriya","","Kaduwela"
"g_n_divisions","1109_10576","Hokandara South","","Kaduwela"
"g_n_divisions","1109_10630","Athurugiriya South","","Kaduwela"
"g_n_divisions","1109_1184","Pahala Bomiriya","","Kaduwela"
"g_n_divisions","1109_1474","Ihala Bomiriya","","Kaduwela"
"g_n_divisions","1109_1763","Wekewatta","","Kaduwela"
"g_n_divisions","1109_20","Welivita","","Kaduwela"
"g_n_divisions","1109_2051","Nawagamuwa","","Kaduwela"
"g_n_divisions","1109_2339","Pahala Bomiriya B","","Kaduwela"
